UnitID,UnitRenderID,ScaleFactor,Tier,MaxHealth,MoveSpeed,BaseDamage,ROF,AttackRange,ProjectileSpeed,Attack Type,TargetType,BuildCost,Armor,Speed,Armor Type,AttackAbilityID,SkillAbilityID
unit_goblin_blaster_tower,Rookie Mordred,1,4,1000,0,130,0.5,350,10,Siege,Everything,0,5,Very fast,Heavy,ga_goblin_blaster_attack,
unit_obelisk_tower,Ultimate Plant 0399,1,4,1000,0,365,0.7,600,10,Chaos,Everything,0,5,Fast,Heavy,ga_obelisk_attack,ga_obelisk_skill
unit_mountain_giant_tower,Ultimate Flyingegg 0370,1,4,1000,0,245,0.5,550,10,Hero,Everything,0,5,Very fast,Heavy,ga_mountain_giant_attack,
unit_sentiel_tower,Rookie Morgan,1,5,1000,0,910,0.8,900,10,Normal,Everything,0,5,Average,Heavy,ga_sentinel_attack,ga_sentinel_skill
unit_oak_jugunet_tower,Champion Ganieda,1,5,1000,0,790,0.7,700,10,Normal,Everything,0,5,Fast,Heavy,ga_oak_jugunet_attack,ga_oak_jugunet_proc
unit_pig_tower,Champion Apollon,1,5,1000,0,650,0.5,600,10,Magic,Everything,0,5,Very fast,Heavy,,
unit_coreta_tower,Champion Athena,1,5,1000,0,400,0.5,600,10,Piercing,Everything,0,5,Very fast,Heavy,ga_coreta_attack,ga_coreta_skill
unit_goblin_factory_tower,Champion Igraine,1,5,1000,0,465,0.7,600,10,Siege,Everything,0,5,Fast,Heavy,ga_goblin_attack,ga_goblin_skill
unit_magic_castle_tower,Champion Merlin,1,5,1000,0,700,0.5,600,10,Chaos,Everything,0,5,Very fast,Heavy,ga_magic_castle_attack,ga_magic_castle_skill
unit_chimera_tower,Champion Lancelot,1,5,1000,0,940,0.5,600,10,Siege,Everything,0,5,Very fast,Heavy,ga_chimera_attack,ga_chimera_skill
unit_stone_tower,Ultimate Poseidon,1,6,1000,0,650,0.7,,10,Normal,Everything,0,5,Fast,Heavy,ga_stone_attack,ga_stone_skill
unit_daemon_tower,Ultimate Dionysos,1,6,1000,0,1680,0.7,,10,Hero,Everything,0,5,Fast,Heavy,ga_daemon_attack,ga_daemon_skill
unit_dimension_tower,Ultimate Vivian,1,6,1000,0,1855,0.7,900,10,Magic,Everything,0,5,Fast,Heavy,ga_dimension_attack,ga_dimension_skill
unit_ice_crown_tower,Ultimate Athena,1,6,1000,0,2005,0.7,650,10,Piercing,Everything,0,5,Fast,Heavy,ga_ice_crown_attack,ga_ice_crown_skill
unit_black_citadel_tower,Ultimate Artemis,1,6,1000,0,2520,0.7,,10,Piercing,Everything,0,5,Fast,Heavy,ga_black_citadel_attack,ga_black_citadel_skill
unit_magic_castle_tower,Ultimate Apollon,1,6,1000,0,1345,0.7,,10,Piercing,Everything,0,5,Fast,Heavy,ga_magic_castle_attack,ga_magic_castle_skill
unit_azshara_tower,Ultimate Aphrodite,1,6,1000,0,1760,0.7,,10,Piercing,Everything,0,5,Fast,Heavy,ga_azshara_attack,ga_azshara_skill
unit_fascia_tower,Ultimate Hephaistos,1,6,1000,0,1406,0.7,,10,Normal,Everything,0,5,Fast,Heavy,ga_fascia_attack,ga_fascia_skill
unit_doom_guard_tower,Ultimate Hermes,1,6,1000,0,941,0.7,,10,,Everything,0,5,Fast,Heavy,ga_doom_guard_attack,ga_doom_guard_skill
unit_dread_lord_tower,Ultimate Mordred,1,6,1000,0,1121,0.7,,10,Magic,Everything,0,5,Fast,Heavy,ga_dread_lord_attack,ga_dread_lord_skill
unit_malfurion_tower,Ultimate Leah,1,6,1000,0,1905,0.7,,10,Magic,Everything,0,5,Fast,Heavy,ga_malfurion_attack,ga_malfurion_skill
unit_alchemist_tower,Ultimate Demeter,1,6,1000,0,2161,0.7,,10,Piercing,Everything,0,5,Fast,Heavy,ga_alchemist_attack,ga_alchemist_skill
unit_prison_wagon_tower,Ultimate Galahad,1,6,1000,0,1731,0.7,,10,Chao,Everything,0,5,Fast,Heavy,ga_prison_wagon_attack,ga_prison_wagon_skill
unit_infernal_tower,Ultimate Ares,1,6,1000,0,1681,0.7,,10,Chao,Everything,0,5,Fast,Heavy,ga_infernal_attack,ga_infernal_skill
unit_holy_azhzra_tower,Ultimate Igraine,1,6,1000,0,1886,0.7,275,10,Chao,Everything,0,5,Fast,Heavy,ga_holy_azhzra_attack,ga_holy_azhzra_skill
unit_hell_fire_tower,Ultimate Apollon,1,6,1000,0,2751,0.7,,10,Chao,Everything,0,5,Fast,Heavy,ga_hell_fire_attack,ga_hell_fire_skill
unit_anthony_das_tower,Ultimate Kronos,1,6,1000,0,1861,0.7,,10,Chao,Everything,0,5,Fast,Heavy,ga_anthony_das_attack,ga_anthony_das_skill
unit_world_tree_tower,Ultimate Earth Dragon,1,6,1000,0,2206,0.7,,10,Chao,Everything,0,5,Fast,Heavy,ga_world_tree_attack,ga_world_tree_skill
unit_avatar_benece_tower,Ultimate Morgan,1,6,1000,0,1456,0.7,,10,Chao,Everything,0,5,Fast,Heavy,ga_avatar_benence_attack,ga_avatar_benence_skill
unit_arthas_tower,Ultimate King Arthur,1,6,1000,0,1971,0.7,,10,Chao,Everything,0,5,Fast,Heavy,ga_arthas_attack,ga_arthas_skill
unit_mountain_king_tower,Ultimate Merlin,1,6,1000,0,2186,0.7,,10,Chao,Everything,0,5,Fast,Heavy,ga_mountain_king_attack,ga_mountain_king_skill
